choice1,choice2,choice3,choice4
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,bolsonaro,alckmin,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
haddad,alckmin,bolsonaro,ciro
ciro,haddad,alckmin,bolsonaro
